Drug	Concentration	Strain	ControlConc	Rep	SampleID	OD	BackgroundCorrect	PercentInhib
Miltefosine	0.05	Strain1537	25	Rep1	Plate_01_24hr_A1	0.3868	0.2868	2.09607136453868
Miltefosine	0.1	Strain1537	50	Rep1	Plate_01_24hr_A2	0.4411	0.3411	2.29505723914399
Miltefosine	0	Strain1537	500	Rep1	Plate_01_24hr_A3	0.4335	0.3335	2.26720654582907
Miltefosine	0.25	Strain1537	125	Rep1	Plate_01_24hr_A4	0.4195	0.3195	2.21590263709105
Miltefosine	0.5	Strain1537	250	Rep1	Plate_01_24hr_A5	0.3825	0.2825	2.08031373542629
Miltefosine	0.75	Strain1537	375	Rep1	Plate_01_24hr_A6	0.4427	0.3427	2.30092054299977
Miltefosine	1	Strain1537	500	Rep1	Plate_01_24hr_A7	0.4578	0.3578	2.35625547313863
Miltefosine	2	Strain1537	25	Rep1	Plate_01_24hr_A8	0.1248	0.0248	1.13595535815575
Miltefosine	4	Strain1537	50	Rep1	Plate_01_24hr_A9	0.1183	0.0183	1.11213568624167
Miltefosine	6	Strain1537	75	Rep1	Plate_01_24hr_A10	0.1198	0.0198	1.11763253360646
Miltefosine	8	Strain1537	100	Rep1	Plate_01_24hr_A11	0.1208	0.0208	1.12129709851632
Miltefosine	0	Strain1537	1000	Rep1	Plate_01_24hr_A12	0.3685	0.2685	2.02900982668827
Miltefosine	10	Strain1537	125	Rep1	Plate_01_24hr_A13	0.1298	0.0298	1.15427818270504
Miltefosine	12	Strain1537	150	Rep1	Plate_01_24hr_A14	0.1166	0.0166	1.10590592589491
Miltefosine	14	Strain1537	175	Rep1	Plate_01_24hr_A15	0.1174	0.0174	1.1088375778228
Miltefosine	16	Strain1537	200	Rep1	Plate_01_24hr_A16	0.1217	0.0217	1.12459520693519
Miltefosine	18	Strain1537	225	Rep1	Plate_01_24hr_A17	0.117	0.017	1.10737175185885
Miltefosine	20	Strain1537	250	Rep1	Plate_01_24hr_A18	0.1178	0.0178	1.11030340378674
Miltefosine	23.33	Strain1537	175	Rep1	Plate_01_24hr_A19	0.1118	0.0118	1.08831601432759
Miltefosine	30	Strain1537	225	Rep1	Plate_01_24hr_A20	0.1142	0.0142	1.09711097011125
Miltefosine	50	Strain1537	375	Rep1	Plate_01_24hr_A21	0.1158	0.0158	1.10297427396702
Miltefosine	73.33	Strain1537	550	Rep1	Plate_01_24hr_A22	0.115	0.015	1.10004262203914
Miltefosine	100	Strain1537	750	Rep1	Plate_01_24hr_A23	0.1139	0.0139	1.09601160063829
Miltefosine	133.3	Strain1537	1000	Rep1	Plate_01_24hr_A24	0.1149	0.0149	1.09967616554815
Pentamidine	0.05	Strain1537	25	Rep1	Plate_01_24hr_B1	0.3812	0.2812	2.07554980104347
Pentamidine	0.1	Strain1537	50	Rep1	Plate_01_24hr_B2	0.3935	0.2935	2.12062394943473
Pentamidine	0	Strain1537	500	Rep1	Plate_01_24hr_B3	0.3859	0.2859	2.09277325611981
Pentamidine	0.25	Strain1537	125	Rep1	Plate_01_24hr_B4	0.3219	0.2219	1.85824110188886
Pentamidine	0.5	Strain1537	250	Rep1	Plate_01_24hr_B5	0.3261	0.2261	1.87363227451027
Pentamidine	0.75	Strain1537	375	Rep1	Plate_01_24hr_B6	0.2484	0.1484	1.58889558101426
Pentamidine	1	Strain1537	500	Rep1	Plate_01_24hr_B7	0.3498	0.2498	1.96048246287391
Pentamidine	2	Strain1537	25	Rep1	Plate_01_24hr_B8	0.2685	0.1685	1.66255333570242
Pentamidine	4	Strain1537	50	Rep1	Plate_01_24hr_B9	0.3071	0.2071	1.80400554122296
Pentamidine	6	Strain1537	75	Rep1	Plate_01_24hr_B10	0.2566	0.1566	1.6189450132751
Pentamidine	8	Strain1537	100	Rep1	Plate_01_24hr_B11	0.2829	0.1829	1.71532307040438
Pentamidine	0	Strain1537	1000	Rep1	Plate_01_24hr_B12	0.3869	0.2869	2.09643782102966
Pentamidine	10	Strain1537	125	Rep1	Plate_01_24hr_B13	0.2292	0.1292	1.51853593474498
Pentamidine	12	Strain1537	150	Rep1	Plate_01_24hr_B14	0.1974	0.0974	1.40200277061148
Pentamidine	14	Strain1537	175	Rep1	Plate_01_24hr_B15	0.2223	0.1223	1.49325043686695
Pentamidine	16	Strain1537	200	Rep1	Plate_01_24hr_B16	0.2948	0.1948	1.7589313928317
Pentamidine	18	Strain1537	225	Rep1	Plate_01_24hr_B17	0.2199	0.1199	1.48445548108329
Pentamidine	20	Strain1537	250	Rep1	Plate_01_24hr_B18	0.2156	0.1156	1.4686978519709
Pentamidine	23.33	Strain1537	175	Rep1	Plate_01_24hr_B19	0.2412	0.1412	1.56251071366328
Pentamidine	30	Strain1537	225	Rep1	Plate_01_24hr_B20	0.2117	0.1117	1.45440604882245
Pentamidine	50	Strain1537	375	Rep1	Plate_01_24hr_B21	0.183	0.083	1.34923303590952
Pentamidine	73.33	Strain1537	550	Rep1	Plate_01_24hr_B22	0.1679	0.0679	1.29389810577065
Pentamidine	100	Strain1537	750	Rep1	Plate_01_24hr_B23	0.1722	0.0722	1.30965573488304
Pentamidine	133.3	Strain1537	1000	Rep1	Plate_01_24hr_B24	0.1628	0.0628	1.27520882473037
Cloxiquine	0.05	Strain1537	25	Rep1	Plate_01_24hr_C1	0.3706	0.2706	2.03670541299897
Cloxiquine	0.1	Strain1537	50	Rep1	Plate_01_24hr_C2	0.388	0.288	2.10046884243051
Cloxiquine	0	Strain1537	500	Rep1	Plate_01_24hr_C3	0.3782	0.2782	2.0645561063139
Cloxiquine	0.25	Strain1537	125	Rep1	Plate_01_24hr_C4	0.3198	0.2198	1.85054551557816
Cloxiquine	0.5	Strain1537	250	Rep1	Plate_01_24hr_C5	0.2863	0.1863	1.7277825910979
Cloxiquine	0.75	Strain1537	375	Rep1	Plate_01_24hr_C6	0.3173	0.2173	1.84138410330351
Cloxiquine	1	Strain1537	500	Rep1	Plate_01_24hr_C7	0.3189	0.2189	1.84724740715929
Cloxiquine	2	Strain1537	25	Rep1	Plate_01_24hr_C8	0.3415	0.2415	1.93006657412209
Cloxiquine	4	Strain1537	50	Rep1	Plate_01_24hr_C9	0.4111	0.3111	2.18512029184824
Cloxiquine	6	Strain1537	75	Rep1	Plate_01_24hr_C10	0.3043	0.2043	1.79374475947535
Cloxiquine	8	Strain1537	100	Rep1	Plate_01_24hr_C11	0.2728	0.1728	1.67831096481481
Cloxiquine	0	Strain1537	1000	Rep1	Plate_01_24hr_C12	0.3939	0.2939	2.12208977539867
Cloxiquine	10	Strain1537	125	Rep1	Plate_01_24hr_C13	0.2636	0.1636	1.64459696764411
Cloxiquine	12	Strain1537	150	Rep1	Plate_01_24hr_C14	0.2507	0.1507	1.59732408030694
Cloxiquine	14	Strain1537	175	Rep1	Plate_01_24hr_C15	0.1936	0.0936	1.38807742395402
Cloxiquine	16	Strain1537	200	Rep1	Plate_01_24hr_C16	0.1853	0.0853	1.35766153520219
Cloxiquine	18	Strain1537	225	Rep1	Plate_01_24hr_C17	0.1365	0.0365	1.17883076760109
Cloxiquine	20	Strain1537	250	Rep1	Plate_01_24hr_C18	0.1156	0.0156	1.10224136098505
Cloxiquine	23.33	Strain1537	175	Rep1	Plate_01_24hr_C19	0.4076	0.3076	2.17229431466374
Cloxiquine	30	Strain1537	225	Rep1	Plate_01_24hr_C20	0.1091	0.0091	1.07842168907097
Cloxiquine	50	Strain1537	375	Rep1	Plate_01_24hr_C21	0.4356	0.3356	2.27490213213977
Cloxiquine	73.33	Strain1537	550	Rep1	Plate_01_24hr_C22	0.1044	0.0044	1.06119823399464
Cloxiquine	100	Strain1537	750	Rep1	Plate_01_24hr_C23	0.104	0.00399999999999999	1.05973240803069
Cloxiquine	133.3	Strain1537	1000	Rep1	Plate_01_24hr_C24	0.5013	0.4013	2.51566404671748
Disulfiram	0.05	Strain1537	25	Rep1	Plate_01_24hr_D1	0.4242	0.3242	2.23312609216739
Disulfiram	0.1	Strain1537	50	Rep1	Plate_01_24hr_D2	0.3139	0.2139	1.82892458260999
Disulfiram	0	Strain1537	500	Rep1	Plate_01_24hr_D3	0.5049	0.4049	2.52885648039297
Disulfiram	0.25	Strain1537	125	Rep1	Plate_01_24hr_D4	0.3391	0.2391	1.92127161833843
Disulfiram	0.5	Strain1537	250	Rep1	Plate_01_24hr_D5	0.307	0.207	1.80363908473197
Disulfiram	0.75	Strain1537	375	Rep1	Plate_01_24hr_D6	0.328	0.228	1.880594947839
Disulfiram	1	Strain1537	500	Rep1	Plate_01_24hr_D7	0.3093	0.2093	1.81206758402464
Disulfiram	2	Strain1537	25	Rep1	Plate_01_24hr_D8	0.4029	0.3029	2.1550708595874
Disulfiram	4	Strain1537	50	Rep1	Plate_01_24hr_D9	0.3406	0.2406	1.92676846570322
Disulfiram	6	Strain1537	75	Rep1	Plate_01_24hr_D10	0.2205	0.1205	1.48665422002921
Disulfiram	8	Strain1537	100	Rep1	Plate_01_24hr_D11	0.1285	0.0285	1.14951424832223
